Time(%),Total Time (ns),Instances,Average,Minimum,Maximum,StdDev,Name
2.6,40398801,250,161595.2,8992,173248,31069.8,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float const, float const>, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_product_op<float, float> >, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_sum_op<float, float> >, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_erf_op<float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind2nd_op<Eigen::internal::scalar_product_op<float const, float const> >, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const> const> const, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_product_op<float const, float const> >, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_exp_op<float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_product_op<float, float> >, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_square_op<float const>, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const> const> const> const> const> const, Eigen::GpuDevice>, long>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float const, float const>, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float, float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_product_op<float, float> >, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_sum_op<float, float> >, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_erf_op<float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind2nd_op<Eigen::internal::scalar_product_op<float const, float const> >, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const> const> const, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_product_op<float const, float const> >, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_exp_op<float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_product_op<float, float> >, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_square_op<float const>, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const> const> const> const> const> const, Eigen::GpuDevice>, long)"
2.6,39977615,480,83286.7,74432,86112,1641.1,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x64_32x4_tn_align4>(cutlass_80_tensorop_s1688gemm_128x64_32x4_tn_align4::Params)
2.1,31938831,480,66539.2,58560,71456,3677.1,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align4>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nn_align4::Params)
2.1,31860851,500,63721.7,13056,74273,7323.4,"void paddle::operators::LayerNormForward<float, float, 512>(float const*, float const*, float const*, float*, float*, float*, float, long)"
2.0,31352588,480,65317.9,58336,67456,1559.3,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x4_nt_align4>(cutlass_80_tensorop_s1688gemm_64x64_32x4_nt_align4::Params)
2.0,30771815,250,123087.3,6528,130783,23832.1,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind2nd_op<Eigen::internal::scalar_product_op<float const, float const> >, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_sum_op<float, float> >, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_erf_op<float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind2nd_op<Eigen::internal::scalar_product_op<float const, float const> >, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const> const> const> const, Eigen::GpuDevice>, long>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind2nd_op<Eigen::internal::scalar_product_op<float const, float const> >, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_sum_op<float, float> >, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_erf_op<float>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind2nd_op<Eigen::internal::scalar_product_op<float const, float const> >, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const> const> const> const, Eigen::GpuDevice>, long)"
1.8,28344845,730,38828.6,24384,67392,18139.9,"void paddle::operators::VectorizedRandomGenerator<float, unsigned char, 4>(unsigned long, unsigned long, float, float const*, unsigned char*, float*, bool, unsigned long)"
1.7,25750470,730,35274.6,22816,61664,15284.1,"void paddle::operators::DropoutGradCUDAKernel<float, unsigned char, 4>(float const*, unsigned char const*, float, long, float*)"
1.7,25399482,1500,16933.0,3680,185377,16044.4,"void paddle::operators::ElementwiseBroadcastKernel<float, float, paddle::operators::BroadcastArgsWarpper<float, float, paddle::operators::CudaMulFunctor<float>, (paddle::operators::ElementwiseType)2, 4, 1>, (paddle::operators::ElementwiseType)2, 4>(paddle::operators::BroadcastArgsWarpper<float, float, paddle::operators::CudaMulFunctor<float>, (paddle::operators::ElementwiseType)2, 4, 1>, int, int)"
1.4,21229377,500,42458.8,9760,46368,4899.6,"void paddle::operators::LayerNormBackwardPartGradGammaBeta<float, float, 32, 4, 4>(float const*, float const*, long, long, float const*, float const*, float, float*, float*)"
1.2,18965777,240,79024.1,77056,84448,1480.3,"void paddle::operators::SumArrayCUDAKernel<float>(float**, float*, long, unsigned long, bool)"
1.2,18591627,500,37183.3,7872,45216,4198.6,"void paddle::operators::LayerNormBackwardComputeGradInput<float, float, 32, 4>(float const*, float const*, int, int, float const*, float const*, float, float const*, float*)"
1.2,18552097,510,36376.7,3456,45632,4897.0,"void paddle::operators::VectorizedKernel<(paddle::operators::ElementwiseType)2, 4, float, float, paddle::operators::CudaAddFunctor<float> >(float const*, float const*, float*, int, paddle::operators::CudaAddFunctor<float>)"
1.2,18057194,240,75238.3,69696,81984,3482.6,"void paddle::operators::WarpSoftmaxBackward<float, int4, float, 7, false>(float*, float const*, float const*, int, int, int)"
0.9,13850547,260,53271.3,37216,288704,46902.1,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float const, float const>, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, long>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<float const, float const>, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, long)"
0.8,13072168,240,54467.4,51424,60000,1389.0,"void paddle::operators::WarpSoftmaxForward<float, int4, float, 7, false>(float*, float const*, int, int, int)"
0.8,12417702,240,51740.4,49856,53760,812.0,"void paddle::operators::ElementwiseBroadcastKernel<float, float, paddle::operators::BroadcastArgsWarpper<float, float, paddle::operators::CudaAddFunctor<float>, (paddle::operators::ElementwiseType)2, 4, 3>, (paddle::operators::ElementwiseType)2, 4>(paddle::operators::BroadcastArgsWarpper<float, float, paddle::operators::CudaAddFunctor<float>, (paddle::operators::ElementwiseType)2, 4, 3>, int, int)"
0.5,8225588,30,274186.3,207745,348705,63593.5,"void paddle::operators::LookupTableV2Grad<float, 128, 8, 8>(float*, float const*, long const*, long, long, long)"
0.2,3325030,10,332503.0,305825,357345,16311.9,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x128_16x4_nt_align4>(cutlass_80_tensorop_s1688gemm_128x128_16x4_nt_align4::Params)
0.2,2382627,500,4765.3,4448,9087,230.0,"void paddle::operators::LayerNormBackwardSumGradGammaBeta<float, float, 32, 8>(float const*, float const*, int, int, int, float*, float*)"
0.1,2115907,10,211590.7,193984,239296,13347.6,"void paddle::operators::RowReductionForDiffMaxSum<float, 512, true>(float const*, float*, float*, long, int)"
0.1,2104742,10,210474.2,190464,231969,12503.6,"void paddle::platform::ForRangeElemwiseOp<paddle::operators::HardLabelSoftmaxWithCrossEntropyFunctor<float> >(paddle::operators::HardLabelSoftmaxWithCrossEntropyFunctor<float>, unsigned long)"
0.1,1747043,20,87352.2,3743,188000,85931.4,"void paddle::operators::(anonymous namespace)::Scale<float>(float*, float const*, long, long, long, long const*, int)"
0.1,1561027,20,78051.4,6560,160352,70537.0,"void paddle::operators::VecMatrixReduceLongWidth<float, 4>(float const*, float*, unsigned long, unsigned long)"
0.1,1097056,40,27426.4,3808,89696,35067.0,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, long>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, long)"
0.1,828993,30,27633.1,18656,44736,10598.8,"void paddle::operators::LookupTableV2<float, 256, 4, 80, false>(float*, float const*, long const*, long, long, long, long)"
0.0,694020,10,69402.0,64993,73984,2544.6,"void paddle::operators::RowReductionForMax<float, 512>(float const*, float*, long, int)"
0.0,377027,10,37702.7,36000,38912,1086.1,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align4>(cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align4::Params)
0.0,376927,10,37692.7,36064,39296,1052.9,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4>(cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4::Params)
0.0,144319,10,14431.9,12928,16320,1078.0,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 3, 1, int>, 16, Eigen::MakePointer>, Eigen::TensorPaddingOp<std::array<std::pair<int, int>, 3ul> const, Eigen::TensorMap<Eigen::Tensor<float const, 3, 1, int>, 16, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, int>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 3, 1, int>, 16, Eigen::MakePointer>, Eigen::TensorPaddingOp<std::array<std::pair<int, int>, 3ul> const, Eigen::TensorMap<Eigen::Tensor<float const, 3, 1, int>, 16, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, int)"
0.0,130819,30,4360.6,3936,4896,312.9,"void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const*, float const*, float*, float const*, float const*, float const*)"
0.0,119904,10,11990.4,11648,12448,227.8,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4>(cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4::Params)
0.0,119871,10,11987.1,11328,12640,357.1,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4>(cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4::Params)
0.0,113983,10,11398.3,11104,11616,139.0,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align1>(cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align1::Params)
0.0,96863,10,9686.3,9343,9920,205.9,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x10_nt_align1>(cutlass_80_tensorop_s1688gemm_64x64_16x10_nt_align1::Params)
0.0,96608,10,9660.8,9312,10080,221.4,void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_128x64_16x6_nt_align4>(cutlass_80_tensorop_s1688gemm_128x64_16x6_nt_align4::Params)
0.0,94434,20,4721.7,3744,5440,546.6,"void paddle::operators::(anonymous namespace)::CrossEntropyGrad<float>(float*, long const*, long, long, long, int)"
0.0,92993,10,9299.3,8672,9728,368.0,"void paddle::operators::GatherCUDAKernel<float, int>(float const*, int const*, float*, unsigned long, unsigned long)"
0.0,91617,10,9161.7,8544,9984,465.5,"void paddle::operators::ScatterCUDAKernel<float, int>(float const*, int const*, float*, unsigned long, unsigned long, bool)"
0.0,77503,20,3875.2,3040,7552,912.1,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind2nd_op<Eigen::internal::scalar_sum_op<float, float> >, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_product_op<float const, float const> >, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const> const, Eigen::GpuDevice>, long>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind2nd_op<Eigen::internal::scalar_sum_op<float, float> >, Eigen::TensorCwiseUnaryOp<Eigen::internal::bind1st_op<Eigen::internal::scalar_product_op<float const, float const> >, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const> const, Eigen::GpuDevice>, long)"
0.0,72096,10,7209.6,6656,7617,294.2,"void paddle::operators::ScatterInitCUDAKernel<float, int>(int const*, float*, unsigned long, unsigned long)"
0.0,71105,10,7110.5,6911,7649,253.2,ampere_sgemm_128x32_tn
0.0,59938,10,5993.8,5216,6400,317.9,"void paddle::operators::ElementwiseBroadcastKernel<float, float, paddle::operators::BroadcastArgsWarpper<float, float, paddle::operators::CudaDivFunctor<float, void>, (paddle::operators::ElementwiseType)2, 4, 1>, (paddle::operators::ElementwiseType)2, 4>(paddle::operators::BroadcastArgsWarpper<float, float, paddle::operators::CudaDivFunctor<float, void>, (paddle::operators::ElementwiseType)2, 4, 1>, int, int)"
0.0,50528,10,5052.8,4896,5216,116.3,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 3, 1, int>, 16, Eigen::MakePointer>, Eigen::TensorSlicingOp<Eigen::DSizes<int, 3> const, Eigen::DSizes<int, 3> const, Eigen::TensorMap<Eigen::Tensor<float const, 3, 1, int>, 16, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, int>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 3, 1, int>, 16, Eigen::MakePointer>, Eigen::TensorSlicingOp<Eigen::DSizes<int, 3> const, Eigen::DSizes<int, 3> const, Eigen::TensorMap<Eigen::Tensor<float const, 3, 1, int>, 16, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, int)"
0.0,48160,10,4816.0,3712,6591,990.5,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<long, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<long>, Eigen::TensorMap<Eigen::Tensor<long, 1, 1, long>, 0, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, long>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<long, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<long>, Eigen::TensorMap<Eigen::Tensor<long, 1, 1, long>, 0, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, long)"
0.0,46081,10,4608.1,4160,5281,469.8,void paddle::platform::ForRangeElemwiseOpGridIsOne<paddle::operators::HardLabelSoftmaxWithCrossEntropyFunctor<float> >(paddle::operators::HardLabelSoftmaxWithCrossEntropyFunctor<float>)
0.0,45822,10,4582.2,4224,4800,151.4,"void paddle::operators::BlockScanKernel<long, 128, 4>(long*, long const*, int, int, int, bool)"
0.0,45567,10,4556.7,4352,4897,172.2,"void paddle::operators::RowReductionForDiffMaxSum<float, 2, true>(float const*, float*, float*, long, int)"
0.0,44575,10,4457.5,3968,6784,843.6,"void paddle::operators::RowReductionForMax<float, 2>(float const*, float*, long, int)"
0.0,44349,10,4434.9,4191,4671,152.4,"void paddle::operators::VectorizedKernel<(paddle::operators::ElementwiseType)2, 4, float, float, paddle::operators::CudaTanhGradFunctor<float> >(float const*, float const*, float*, int, paddle::operators::CudaTanhGradFunctor<float>)"
0.0,43360,10,4336.0,4224,4384,45.9,"void paddle::operators::VectorizedKernel<(paddle::operators::ElementwiseType)1, 4, float, float, paddle::operators::CudaTanhFunctor<float> >(float const*, float const*, float*, int, paddle::operators::CudaTanhFunctor<float>)"
0.0,42305,10,4230.5,3553,4864,548.9,"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<float, float, int, cub::Sum>::Policy600, cub::TransformInputIterator<float, paddle::operators::DivideFunctor<float>, float const*, long>, float*, int, cub::Sum, float>(cub::TransformInputIterator<float, paddle::operators::DivideFunctor<float>, float const*, long>, float*, int, cub::Sum, float)"
0.0,42304,10,4230.4,3840,4928,361.3,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_quotient_op<float const, float const>, Eigen::TensorBroadcastingOp<Eigen::array<int, 1ul> const, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer> const> const> const> const, Eigen::GpuDevice>, long>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_quotient_op<float const, float const>, Eigen::TensorBroadcastingOp<Eigen::array<int, 1ul> const, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const, Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer> const> const> const> const, Eigen::GpuDevice>, long)"
0.0,41119,10,4111.9,3840,4288,153.3,"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<float, float, int, cub::Sum>::Policy600, cub::TransformInputIterator<float, paddle::operators::IdentityFunctor<float>, float const*, long>, float*, int, cub::Sum, float>(cub::TransformInputIterator<float, paddle::operators::IdentityFunctor<float>, float const*, long>, float*, int, cub::Sum, float)"
0.0,37569,10,3756.9,3680,3840,58.7,"void paddle::operators::ElemwiseGradBroadcast1CUDAKernel<float, paddle::operators::DivGradDX<float>, paddle::operators::DivGradDY<float> >(float const*, float const*, float const*, float const*, int, int, bool, paddle::operators::DivGradDX<float>, paddle::operators::DivGradDY<float>, float*, float*)"
0.0,36898,10,3689.8,3424,3776,99.1,"void paddle::operators::VectorizedKernel<(paddle::operators::ElementwiseType)2, 2, long, long, paddle::operators::CudaSubFunctor<long> >(long const*, long const*, long*, int, paddle::operators::CudaSubFunctor<long>)"
0.0,35615,10,3561.5,3392,3840,135.0,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorBroadcastingOp<Eigen::array<int, 1ul> const, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, long>(Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, 1, 1, long>, 0, Eigen::MakePointer>, Eigen::TensorBroadcastingOp<Eigen::array<int, 1ul> const, Eigen::TensorMap<Eigen::Tensor<float const, 1, 1, long>, 0, Eigen::MakePointer> const> const> const, Eigen::GpuDevice>, long)"
